Date,Equipe_Domicile,Score_Reel,Equipe_Exterieur,Detail,Cote,Bonus_Tag,Prono_MPP,Points_Gagnes
dimanche 19 juillet,Espagne,1 - 0,Argentine,Ap. prolong.,90,(x2),3 - 1,180
samedi 18 juillet,France,4 - 6,Angleterre,,119,,2 - 3,119
mercredi 15 juillet,Angleterre,1 - 2,Argentine,,110,,1 - 1,0
mardi 14 juillet,France,0 - 2,Espagne,,115,,1 - 3,115
dimanche 12 juillet,Argentine,3 - 1,Suisse,Ap. prolong.,144,,1 - 2,0
samedi 11 juillet,Norvège,1 - 2,Angleterre,Ap. prolong.,122,,2 - 0,0
vendredi 10 juillet,Espagne,2 - 1,Belgique,,125,,1 - 1,0
jeudi 09 juillet,France,2 - 0,Maroc,,127,,2 - 2,0
mardi 07 juillet,États-Unis,1 - 4,Belgique,,117,,1 - 1,0
mardi 07 juillet,Argentine,3 - 2,Égypte,,139,,1 - 1,0
mardi 07 juillet,Suisse,0 - 0,Colombie,TAB : 4 - 3,116,,1 - 0,0
lundi 06 juillet,Mexique,2 - 3,Angleterre,,105,,1 - 0,0
lundi 06 juillet,Portugal,0 - 1,Espagne,,72,,0 - 2,72
dimanche 05 juillet,Brésil,1 - 2,Norvège,,130,,1 - 3,130
samedi 04 juillet,Colombie,1 - 0,Ghana,,114,,1 - 1,0
samedi 04 juillet,Canada,0 - 3,Maroc,,68,,1 - 3,68
samedi 04 juillet,Paraguay,0 - 1,France,,28,,1 - 2,28
vendredi 03 juillet,Suisse,2 - 0,Algérie,,61,,1 - 0,61
vendredi 03 juillet,Australie,1 - 1,Égypte,TAB : 2 - 4,106,,2 - 2,106
vendredi 03 juillet,Argentine,3 - 2,Cap-Vert,Ap. prolong.,25,,3 - 0,25
jeudi 02 juillet,États-Unis,2 - 0,Bosnie,,52,,3 - 0,52
jeudi 02 juillet,Espagne,3 - 0,Autriche,,41,,2 - 0,41
jeudi 02 juillet,Portugal,2 - 1,Croatie,,133,,0 - 1,0
mercredi 01 juillet,Mexique,2 - 0,Équateur,,84,Rare +30pts,,114
mercredi 01 juillet,Angleterre,2 - 1,RD Congo,,144,,1 - 1,0
mercredi 01 juillet,Belgique,3 - 2,Sénégal,Ap. prolong.,123,,1 - 2,0
mardi 30 juin,Pays-Bas,1 - 1,Maroc,TAB : 2 - 3,122,,2 - 3,0
mardi 30 juin,Côte d’Ivoire,1 - 2,Norvège,,123,,1 - 0,0
mardi 30 juin,France,3 - 0,Suède,,38,,4 - 0,38
lundi 29 juin,Brésil,2 - 1,Japon,,65,,3 - 0,65
lundi 29 juin,Allemagne,1 - 1,Paraguay,TAB : 3 - 4,45,,2 - 1,0
dimanche 28 juin,Jordanie,1 - 3,Argentine,,32,,0 - 5,32
dimanche 28 juin,Algérie,3 - 3,Autriche,,107,,1 - 2,0
dimanche 28 juin,Afrique du Sud,0 - 1,Canada,,121,,1 - 1,0
samedi 27 juin,Uruguay,0 - 1,Espagne,,57,Mega rare +70pts,,127
samedi 27 juin,Cap-Vert,0 - 0,Arabie saoudite,,99,,1 - 0,0
samedi 27 juin,Panama,0 - 2,Angleterre,,32,,1 - 2,32
samedi 27 juin,Croatie,2 - 1,Ghana,,138,,1 - 2,0
samedi 27 juin,RD Congo,3 - 1,Ouzbékistan,,63,,3 - 0,63
samedi 27 juin,Colombie,0 - 0,Portugal,,154,,2 - 1,0
vendredi 26 juin,Turquie,3 - 2,États-Unis,,93,,0 - 3,0
vendredi 26 juin,Paraguay,0 - 0,Australie,,74,,2 - 1,0
vendredi 26 juin,Sénégal,5 - 0,Irak,,54,,3 - 1,54
vendredi 26 juin,Norvège,1 - 4,France,,108,,2 - 2,0
jeudi 25 juin,Afrique du Sud,1 - 0,Corée du Sud,,103,,0 - 0,0
jeudi 25 juin,Tchéquie,0 - 3,Mexique,,99,,1 - 1,0
jeudi 25 juin,Équateur,2 - 1,Allemagne,,42,,0 - 4,0
jeudi 25 juin,Curaçao,0 - 2,Côte d’Ivoire,,53,Exact +20pts,,73
jeudi 25 juin,Tunisie,1 - 3,Pays-Bas,,56,Très rare +50pts,,106
jeudi 25 juin,Japon,1 - 1,Suède,,108,,2 - 2,108
mercredi 24 juin,Colombie,1 - 0,RD Congo,,123,,1 - 2,0
mercredi 24 juin,Suisse,2 - 1,Canada,,129,,0 - 2,0
mercredi 24 juin,Bosnie,3 - 1,Qatar,,120,,0 - 1,0
mercredi 24 juin,Écosse,0 - 3,Brésil,,48,,0 - 4,48
mercredi 24 juin,Maroc,4 - 2,Haïti,,29,,3 - 0,29
mardi 23 juin,Portugal,5 - 0,Ouzbékistan,,24,,2 - 0,24
mardi 23 juin,Angleterre,0 - 0,Ghana,,44,,3 - 1,0
mardi 23 juin,Panama,0 - 1,Croatie,,123,,1 - 1,0
lundi 22 juin,Nouvelle-Zélande,1 - 3,Égypte,,59,,0 - 1,59
lundi 22 juin,Argentine,2 - 0,Autriche,,63,,3 - 1,63
lundi 22 juin,France,3 - 0,Irak,,22,,4 - 0,22
