Date,Equipe_Domicile,Score_Reel,Equipe_Exterieur,Detail,Cote,Bonus_Tag,Prono_MPP,Points_Gagnes
dimanche 19 juillet,Espagne,1 - 0,Argentine,Ap. prolong.,90,Très rare +50pts,,140
samedi 18 juillet,France,4 - 6,Angleterre,,77,,2 - 0,0
mercredi 15 juillet,Angleterre,1 - 2,Argentine,,93,(x2),2 - 1,0
mardi 14 juillet,France,0 - 2,Espagne,,85,,2 - 1,0
dimanche 12 juillet,Argentine,3 - 1,Suisse,Ap. prolong.,64,,2 - 0,64
samedi 11 juillet,Norvège,1 - 2,Angleterre,Ap. prolong.,77,,1 - 3,77
vendredi 10 juillet,Espagne,2 - 1,Belgique,,60,Exact +20pts,,80
jeudi 09 juillet,France,2 - 0,Maroc,,54,Très rare +50pts,,104
mardi 07 juillet,États-Unis,1 - 4,Belgique,,117,,1 - 1,0
mardi 07 juillet,Argentine,3 - 2,Égypte,,43,,2 - 0,43
mardi 07 juillet,Suisse,0 - 0,Colombie,TAB : 4 - 3,116,,2 - 1,0
lundi 06 juillet,Mexique,2 - 3,Angleterre,,93,,0 - 2,93
lundi 06 juillet,Portugal,0 - 1,Espagne,,72,,1 - 2,72
dimanche 05 juillet,Brésil,1 - 2,Norvège,,72,,2 - 1,0
samedi 04 juillet,Colombie,1 - 0,Ghana,,66,Très rare +50pts,,116
samedi 04 juillet,Canada,0 - 3,Maroc,,137,,2 - 1,0
samedi 04 juillet,Paraguay,0 - 1,France,,28,,0 - 2,28
vendredi 03 juillet,Suisse,2 - 0,Algérie,,61,Rare +30pts,,91
vendredi 03 juillet,Australie,1 - 1,Égypte,TAB : 2 - 4,113,,2 - 1,0
vendredi 03 juillet,Argentine,3 - 2,Cap-Vert,Ap. prolong.,25,,3 - 0,25
jeudi 02 juillet,États-Unis,2 - 0,Bosnie,,52,,2 - 1,52
jeudi 02 juillet,Espagne,3 - 0,Autriche,,41,,2 - 1,41
jeudi 02 juillet,Portugal,2 - 1,Croatie,,73,Exact +20pts,,93
mercredi 01 juillet,Mexique,2 - 0,Équateur,,84,,3 - 0,84
mercredi 01 juillet,Angleterre,2 - 1,RD Congo,,39,,3 - 0,39
mercredi 01 juillet,Belgique,3 - 2,Sénégal,Ap. prolong.,112,,1 - 1,0
mardi 30 juin,Pays-Bas,1 - 1,Maroc,TAB : 2 - 3,80,,2 - 1,0
mardi 30 juin,Côte d’Ivoire,1 - 2,Norvège,,75,,0 - 2,75
mardi 30 juin,France,3 - 0,Suède,,38,Rare +30pts,,68
lundi 29 juin,Brésil,2 - 1,Japon,,65,,3 - 0,65
lundi 29 juin,Allemagne,1 - 1,Paraguay,TAB : 3 - 4,45,,2 - 0,0
dimanche 28 juin,Jordanie,1 - 3,Argentine,,32,,0 - 1,32
dimanche 28 juin,Algérie,3 - 3,Autriche,,96,,1 - 0,0
dimanche 28 juin,Afrique du Sud,0 - 1,Canada,,64,,0 - 2,64
samedi 27 juin,Uruguay,0 - 1,Espagne,,57,,0 - 3,57
samedi 27 juin,Cap-Vert,0 - 0,Arabie saoudite,,99,,3 - 0,0
samedi 27 juin,Nouvelle-Zélande,1 - 5,Belgique,,32,,0 - 1,32
samedi 27 juin,Égypte,1 - 1,Iran,,85,,2 - 1,0
samedi 27 juin,Panama,0 - 2,Angleterre,,32,,1 - 3,32
samedi 27 juin,Croatie,2 - 1,Ghana,,57,Exact +20pts,,77
samedi 27 juin,RD Congo,3 - 1,Ouzbékistan,,63,,1 - 0,63
samedi 27 juin,Colombie,0 - 0,Portugal,,55,,1 - 3,0
vendredi 26 juin,Turquie,3 - 2,États-Unis,,102,,1 - 1,0
vendredi 26 juin,Paraguay,0 - 0,Australie,,131,,1 - 2,0
vendredi 26 juin,Sénégal,5 - 0,Irak,,54,,3 - 1,54
vendredi 26 juin,Norvège,1 - 4,France,,141,,2 - 1,0
jeudi 25 juin,Afrique du Sud,1 - 0,Corée du Sud,,87,,0 - 1,0
jeudi 25 juin,Tchéquie,0 - 3,Mexique,,91,,0 - 2,91
jeudi 25 juin,Équateur,2 - 1,Allemagne,,42,,0 - 2,0
jeudi 25 juin,Curaçao,0 - 2,Côte d’Ivoire,,118,,1 - 1,0
jeudi 25 juin,Tunisie,1 - 3,Pays-Bas,,56,,0 - 4,56
jeudi 25 juin,Japon,1 - 1,Suède,,111,,1 - 3,0
mercredi 24 juin,Colombie,1 - 0,RD Congo,,77,,2 - 0,77
mercredi 24 juin,Suisse,2 - 1,Canada,,68,Exact +20pts,,88
mercredi 24 juin,Bosnie,3 - 1,Qatar,,120,,0 - 2,0
mercredi 24 juin,Écosse,0 - 3,Brésil,,48,Très rare +50pts,,98
mercredi 24 juin,Maroc,4 - 2,Haïti,,29,,2 - 0,29
mardi 23 juin,Norvège,3 - 2,Sénégal,,64,,2 - 1,64
mardi 23 juin,Jordanie,1 - 2,Algérie,,67,,0 - 3,67
mardi 23 juin,Portugal,5 - 0,Ouzbékistan,,24,,1 - 0,24
mardi 23 juin,Angleterre,0 - 0,Ghana,,44,,3 - 0,0
mardi 23 juin,Panama,0 - 1,Croatie,,36,,2 - 3,36
lundi 22 juin,Nouvelle-Zélande,1 - 3,Égypte,,116,,2 - 2,0
lundi 22 juin,Argentine,2 - 0,Autriche,,105,,1 - 1,0
lundi 22 juin,France,3 - 0,Irak,,22,,2 - 0,22
dimanche 21 juin,Équateur,0 - 0,Curaçao,,41,,1 - 0,0
dimanche 21 juin,Tunisie,0 - 4,Japon,,118,,1 - 0,0
dimanche 21 juin,Espagne,4 - 0,Arabie saoudite,,31,,1 - 0,31
dimanche 21 juin,Belgique,0 - 0,Iran,,39,,2 - 0,0
dimanche 21 juin,Uruguay,2 - 2,Cap-Vert,,109,,1 - 1,109
samedi 20 juin,Brésil,3 - 0,Haïti,,21,,1 - 0,21
samedi 20 juin,Turquie,0 - 1,Paraguay,,84,,2 - 1,0
samedi 20 juin,Pays-Bas,5 - 1,Suède,,122,,1 - 1,0
samedi 20 juin,Allemagne,2 - 1,Côte d’Ivoire,,38,,3 - 0,38
vendredi 19 juin,Mexique,1 - 0,Corée du Sud,,69,,2 - 1,69
vendredi 19 juin,États-Unis,2 - 0,Australie,,58,,1 - 0,58
vendredi 19 juin,Écosse,0 - 1,Maroc,,91,,1 - 2,91
jeudi 18 juin,Ouzbékistan,1 - 3,Colombie,,44,,0 - 1,44
jeudi 18 juin,Tchéquie,1 - 1,Afrique du Sud,,112,Exact +20pts,,132
jeudi 18 juin,Suisse,4 - 1,Bosnie,,134,,0 - 1,0
jeudi 18 juin,Canada,6 - 0,Qatar,,104,,1 - 1,0
mercredi 17 juin,Argentine,3 - 0,Algérie,,43,,1 - 0,43
mercredi 17 juin,Autriche,3 - 1,Jordanie,,38,,2 - 0,38
