Date,Equipe_Domicile,Score_Reel,Equipe_Exterieur,Detail,Cote,Bonus_Tag,Prono_MPP,Points_Gagnes
dimanche 19 juillet,Espagne,1 - 0,Argentine,Ap. prolong.,108,,1 - 1,0
samedi 18 juillet,France,4 - 6,Angleterre,,77,,1 - 0,0
mercredi 15 juillet,Angleterre,1 - 2,Argentine,,110,,2 - 2,0
mardi 14 juillet,France,0 - 2,Espagne,,85,,2 - 1,0
dimanche 12 juillet,Argentine,3 - 1,Suisse,Ap. prolong.,144,(x2),1 - 3,0
samedi 11 juillet,Norvège,1 - 2,Angleterre,Ap. prolong.,122,,2 - 1,0
vendredi 10 juillet,Espagne,2 - 1,Belgique,,125,,1 - 1,0
jeudi 09 juillet,France,2 - 0,Maroc,,54,,3 - 2,54
mardi 07 juillet,États-Unis,1 - 4,Belgique,,95,,2 - 1,0
mardi 07 juillet,Argentine,3 - 2,Égypte,,43,,3 - 1,43
mardi 07 juillet,Suisse,0 - 0,Colombie,TAB : 4 - 3,116,,2 - 0,0
lundi 06 juillet,Portugal,0 - 1,Espagne,,120,,1 - 1,0
samedi 04 juillet,Colombie,1 - 0,Ghana,,66,,3 - 0,66
samedi 04 juillet,Canada,0 - 3,Maroc,,118,,1 - 1,0
samedi 04 juillet,Paraguay,0 - 1,France,,28,,1 - 3,28
vendredi 03 juillet,Suisse,2 - 0,Algérie,,61,,3 - 0,61
vendredi 03 juillet,Australie,1 - 1,Égypte,TAB : 2 - 4,106,,2 - 2,106
vendredi 03 juillet,Argentine,3 - 2,Cap-Vert,Ap. prolong.,25,,4 - 1,25
jeudi 02 juillet,États-Unis,2 - 0,Bosnie,,157,,0 - 1,0
jeudi 02 juillet,Espagne,3 - 0,Autriche,,41,,2 - 1,41
jeudi 02 juillet,Portugal,2 - 1,Croatie,,73,,2 - 0,73
mercredi 01 juillet,Mexique,2 - 0,Équateur,,108,,1 - 1,0
mercredi 01 juillet,Angleterre,2 - 1,RD Congo,,144,,2 - 2,0
mercredi 01 juillet,Belgique,3 - 2,Sénégal,Ap. prolong.,80,,4 - 1,80
mardi 30 juin,Pays-Bas,1 - 1,Maroc,TAB : 2 - 3,80,,2 - 1,0
mardi 30 juin,Côte d’Ivoire,1 - 2,Norvège,,123,,2 - 1,0
mardi 30 juin,France,3 - 0,Suède,,38,,4 - 1,38
lundi 29 juin,Brésil,2 - 1,Japon,,65,Exact +20pts,,85
lundi 29 juin,Allemagne,1 - 1,Paraguay,TAB : 3 - 4,140,,2 - 2,140
dimanche 28 juin,Jordanie,1 - 3,Argentine,,32,,0 - 2,32
dimanche 28 juin,Algérie,3 - 3,Autriche,,103,,1 - 1,103
dimanche 28 juin,Afrique du Sud,0 - 1,Canada,,64,,1 - 3,64
samedi 27 juin,Uruguay,0 - 1,Espagne,,143,,1 - 0,0
samedi 27 juin,Cap-Vert,0 - 0,Arabie saoudite,,123,,1 - 1,123
samedi 27 juin,Nouvelle-Zélande,1 - 5,Belgique,,172,,3 - 2,0
samedi 27 juin,Égypte,1 - 1,Iran,,85,,3 - 2,0
samedi 27 juin,Panama,0 - 2,Angleterre,,137,,2 - 2,0
samedi 27 juin,Croatie,2 - 1,Ghana,,120,,2 - 2,0
samedi 27 juin,RD Congo,3 - 1,Ouzbékistan,,63,,1 - 0,63
samedi 27 juin,Colombie,0 - 0,Portugal,,55,,1 - 3,0
vendredi 26 juin,Turquie,3 - 2,États-Unis,,93,,2 - 5,0
vendredi 26 juin,Paraguay,0 - 0,Australie,,74,,2 - 1,0
vendredi 26 juin,Sénégal,5 - 0,Irak,,149,,0 - 1,0
vendredi 26 juin,Norvège,1 - 4,France,,68,,0 - 2,68
jeudi 25 juin,Équateur,2 - 1,Allemagne,,42,,0 - 3,0
jeudi 25 juin,Curaçao,0 - 2,Côte d’Ivoire,,163,,2 - 1,0
jeudi 25 juin,Tunisie,1 - 3,Pays-Bas,,131,,2 - 1,0
jeudi 25 juin,Japon,1 - 1,Suède,,108,,2 - 2,108
mercredi 24 juin,Colombie,1 - 0,RD Congo,,77,,2 - 1,77
mardi 23 juin,Norvège,3 - 2,Sénégal,,64,Très rare +50pts,,114
mardi 23 juin,Jordanie,1 - 2,Algérie,,139,,1 - 1,0
mardi 23 juin,Portugal,5 - 0,Ouzbékistan,,24,,2 - 1,24
mardi 23 juin,Angleterre,0 - 0,Ghana,,127,,1 - 1,127
mardi 23 juin,Panama,0 - 1,Croatie,,165,,2 - 1,0
lundi 22 juin,Nouvelle-Zélande,1 - 3,Égypte,,116,,1 - 1,0
lundi 22 juin,Argentine,2 - 0,Autriche,,63,,2 - 1,63
lundi 22 juin,France,3 - 0,Irak,,22,,3 - 1,22
dimanche 21 juin,Équateur,0 - 0,Curaçao,,41,,3 - 1,0
dimanche 21 juin,Tunisie,0 - 4,Japon,,103,,2 - 2,0
