Date,Equipe_Domicile,Score_Reel,Equipe_Exterieur,Detail,Cote,Bonus_Tag,Prono_MPP,Points_Gagnes
dimanche 19 juillet,Espagne,1 - 0,Argentine,Ap. prolong.,90,(x2),3 - 2,180
samedi 18 juillet,France,4 - 6,Angleterre,,77,,2 - 0,0
mercredi 15 juillet,Angleterre,1 - 2,Argentine,,93,,2 - 0,0
mardi 14 juillet,France,0 - 2,Espagne,,85,,2 - 1,0
dimanche 12 juillet,Argentine,3 - 1,Suisse,Ap. prolong.,144,,1 - 2,0
samedi 11 juillet,Norvège,1 - 2,Angleterre,Ap. prolong.,77,Exact +20pts,,97
vendredi 10 juillet,Espagne,2 - 1,Belgique,,60,,3 - 1,60
jeudi 09 juillet,France,2 - 0,Maroc,,54,,3 - 1,54
mardi 07 juillet,États-Unis,1 - 4,Belgique,,95,,3 - 1,0
mardi 07 juillet,Argentine,3 - 2,Égypte,,43,,3 - 0,43
mardi 07 juillet,Suisse,0 - 0,Colombie,TAB : 4 - 3,85,,1 - 2,0
lundi 06 juillet,Mexique,2 - 3,Angleterre,,109,,1 - 1,0
lundi 06 juillet,Portugal,0 - 1,Espagne,,120,,2 - 2,0
dimanche 05 juillet,Brésil,1 - 2,Norvège,,72,,2 - 1,0
samedi 04 juillet,Colombie,1 - 0,Ghana,,66,,2 - 0,66
samedi 04 juillet,Canada,0 - 3,Maroc,,118,,1 - 1,0
samedi 04 juillet,Paraguay,0 - 1,France,,28,,0 - 2,28
vendredi 03 juillet,Suisse,2 - 0,Algérie,,61,,3 - 1,61
vendredi 03 juillet,Australie,1 - 1,Égypte,TAB : 2 - 4,92,,0 - 1,0
vendredi 03 juillet,Argentine,3 - 2,Cap-Vert,Ap. prolong.,25,,4 - 0,25
jeudi 02 juillet,États-Unis,2 - 0,Bosnie,,157,,0 - 1,0
jeudi 02 juillet,Espagne,3 - 0,Autriche,,41,Très rare +50pts,,91
jeudi 02 juillet,Portugal,2 - 1,Croatie,,73,,2 - 0,73
mercredi 01 juillet,Mexique,2 - 0,Équateur,,84,Rare +30pts,,114
mercredi 01 juillet,Angleterre,2 - 1,RD Congo,,39,,2 - 0,39
mercredi 01 juillet,Belgique,3 - 2,Sénégal,Ap. prolong.,123,,1 - 3,0
mardi 30 juin,Pays-Bas,1 - 1,Maroc,TAB : 2 - 3,80,,2 - 1,0
mardi 30 juin,Côte d’Ivoire,1 - 2,Norvège,,75,,0 - 2,75
mardi 30 juin,France,3 - 0,Suède,,38,Rare +30pts,,68
lundi 29 juin,Brésil,2 - 1,Japon,,65,,3 - 1,65
lundi 29 juin,Allemagne,1 - 1,Paraguay,TAB : 3 - 4,45,,3 - 1,0
dimanche 28 juin,Afrique du Sud,0 - 1,Canada,,64,,0 - 2,64
samedi 27 juin,Uruguay,0 - 1,Espagne,,57,,0 - 3,57
samedi 27 juin,Cap-Vert,0 - 0,Arabie saoudite,,123,,1 - 1,123
samedi 27 juin,Nouvelle-Zélande,1 - 5,Belgique,,32,,0 - 3,32
samedi 27 juin,Égypte,1 - 1,Iran,,85,,2 - 1,0
vendredi 26 juin,Turquie,3 - 2,États-Unis,,93,,1 - 3,0
vendredi 26 juin,Paraguay,0 - 0,Australie,,104,,2 - 2,104
vendredi 26 juin,Sénégal,5 - 0,Irak,,54,,3 - 1,54
vendredi 26 juin,Norvège,1 - 4,France,,68,,0 - 3,68
jeudi 25 juin,Afrique du Sud,1 - 0,Corée du Sud,,87,,1 - 3,0
jeudi 25 juin,Tchéquie,0 - 3,Mexique,,91,Mega rare +70pts,,161
jeudi 25 juin,Équateur,2 - 1,Allemagne,,42,,0 - 5,0
jeudi 25 juin,Curaçao,0 - 2,Côte d’Ivoire,,53,,1 - 2,53
jeudi 25 juin,Tunisie,1 - 3,Pays-Bas,,56,,0 - 5,56
jeudi 25 juin,Japon,1 - 1,Suède,,96,,2 - 0,0
mercredi 24 juin,Colombie,1 - 0,RD Congo,,77,,3 - 1,77
