Date,Equipe_Domicile,Score_Reel,Equipe_Exterieur,Detail,Cote,Bonus_Tag,Prono_MPP,Points_Gagnes
dimanche 19 juillet,Espagne,1 - 0,Argentine,Ap. prolong.,90,,2 - 1,90
samedi 18 juillet,France,4 - 6,Angleterre,,77,,4 - 2,0
mercredi 15 juillet,Angleterre,1 - 2,Argentine,,93,,2 - 1,0
mardi 14 juillet,France,0 - 2,Espagne,,85,,2 - 1,0
dimanche 12 juillet,Argentine,3 - 1,Suisse,Ap. prolong.,119,,1 - 1,0
samedi 11 juillet,Norvège,1 - 2,Angleterre,Ap. prolong.,77,Exact +20pts,,97
vendredi 10 juillet,Espagne,2 - 1,Belgique,,60,Exact +20pts,,80
jeudi 09 juillet,France,2 - 0,Maroc,,54,,2 - 1,54
mardi 07 juillet,États-Unis,1 - 4,Belgique,,117,,2 - 2,0
mardi 07 juillet,Argentine,3 - 2,Égypte,,43,,2 - 1,43
mardi 07 juillet,Suisse,0 - 0,Colombie,TAB : 4 - 3,116,,1 - 0,0
lundi 06 juillet,Mexique,2 - 3,Angleterre,,93,,1 - 2,93
lundi 06 juillet,Portugal,0 - 1,Espagne,,72,,1 - 2,72
dimanche 05 juillet,Brésil,1 - 2,Norvège,,118,,1 - 1,0
samedi 04 juillet,Colombie,1 - 0,Ghana,,139,,1 - 2,0
samedi 04 juillet,Canada,0 - 3,Maroc,,68,,1 - 2,68
samedi 04 juillet,Paraguay,0 - 1,France,,28,,1 - 2,28
vendredi 03 juillet,Suisse,2 - 0,Algérie,,122,,1 - 1,0
vendredi 03 juillet,Australie,1 - 1,Égypte,TAB : 2 - 4,106,Exact +20pts,,126
vendredi 03 juillet,Argentine,3 - 2,Cap-Vert,Ap. prolong.,25,,3 - 0,25
jeudi 02 juillet,États-Unis,2 - 0,Bosnie,,52,,2 - 1,52
jeudi 02 juillet,Espagne,3 - 0,Autriche,,41,Très rare +50pts,,91
jeudi 02 juillet,Portugal,2 - 1,Croatie,,73,,3 - 1,73
mercredi 01 juillet,Mexique,2 - 0,Équateur,,84,Rare +30pts,,114
