Date,Equipe_Domicile,Score_Reel,Equipe_Exterieur,Detail,Cote,Bonus_Tag,Prono_MPP,Points_Gagnes
dimanche 19 juillet,Espagne,1 - 0,Argentine,Ap. prolong.,90,Très rare +50pts,,140
samedi 18 juillet,France,4 - 6,Angleterre,,119,,0 - 1,119
mercredi 15 juillet,Angleterre,1 - 2,Argentine,,110,,2 - 2,0
mardi 14 juillet,France,0 - 2,Espagne,,113,,1 - 1,0
dimanche 12 juillet,Argentine,3 - 1,Suisse,Ap. prolong.,119,,1 - 1,0
samedi 11 juillet,Norvège,1 - 2,Angleterre,Ap. prolong.,77,Exact +20pts,,97
vendredi 10 juillet,Espagne,2 - 1,Belgique,,60,,1 - 0,60
jeudi 09 juillet,France,2 - 0,Maroc,,54,,1 - 0,54
mardi 07 juillet,États-Unis,1 - 4,Belgique,,117,,2 - 2,0
mardi 07 juillet,Argentine,3 - 2,Égypte,,43,,2 - 1,43
mardi 07 juillet,Suisse,0 - 0,Colombie,TAB : 4 - 3,116,,2 - 1,0
lundi 06 juillet,Mexique,2 - 3,Angleterre,,109,,1 - 1,0
lundi 06 juillet,Portugal,0 - 1,Espagne,,72,,2 - 3,72
dimanche 05 juillet,Brésil,1 - 2,Norvège,,72,,1 - 0,0
samedi 04 juillet,Colombie,1 - 0,Ghana,,66,,2 - 1,66
samedi 04 juillet,Canada,0 - 3,Maroc,,68,,1 - 3,68
samedi 04 juillet,Paraguay,0 - 1,France,,28,,0 - 2,28
vendredi 03 juillet,Australie,1 - 1,Égypte,TAB : 2 - 4,92,,0 - 1,0
vendredi 03 juillet,Argentine,3 - 2,Cap-Vert,Ap. prolong.,25,,3 - 0,25
jeudi 02 juillet,États-Unis,2 - 0,Bosnie,,52,Exact +20pts,,72
jeudi 02 juillet,Espagne,3 - 0,Autriche,,41,,3 - 1,41
mercredi 01 juillet,Mexique,2 - 0,Équateur,,84,,1 - 0,84
mercredi 01 juillet,Angleterre,2 - 1,RD Congo,,39,,4 - 1,39
mercredi 01 juillet,Belgique,3 - 2,Sénégal,Ap. prolong.,123,,0 - 1,0
mardi 30 juin,Pays-Bas,1 - 1,Maroc,TAB : 2 - 3,114,,2 - 2,114
mardi 30 juin,Côte d’Ivoire,1 - 2,Norvège,,123,,2 - 1,0
mardi 30 juin,France,3 - 0,Suède,,38,,2 - 0,38
lundi 29 juin,Brésil,2 - 1,Japon,,65,,3 - 0,65
lundi 29 juin,Allemagne,1 - 1,Paraguay,TAB : 3 - 4,140,,0 - 0,140
dimanche 28 juin,Jordanie,1 - 3,Argentine,,32,,0 - 4,32
dimanche 28 juin,Algérie,3 - 3,Autriche,,103,,1 - 1,103
dimanche 28 juin,Afrique du Sud,0 - 1,Canada,,121,,1 - 1,0
samedi 27 juin,Uruguay,0 - 1,Espagne,,57,,1 - 3,57
samedi 27 juin,Cap-Vert,0 - 0,Arabie saoudite,,123,,1 - 1,123
samedi 27 juin,Nouvelle-Zélande,1 - 5,Belgique,,32,,0 - 1,32
samedi 27 juin,Égypte,1 - 1,Iran,,85,,1 - 0,0
samedi 27 juin,Panama,0 - 2,Angleterre,,32,,0 - 3,32
samedi 27 juin,Croatie,2 - 1,Ghana,,120,,2 - 2,0
samedi 27 juin,RD Congo,3 - 1,Ouzbékistan,,107,,0 - 0,0
samedi 27 juin,Colombie,0 - 0,Portugal,,55,,0 - 2,0
vendredi 26 juin,Turquie,3 - 2,États-Unis,,93,,0 - 1,0
vendredi 26 juin,Paraguay,0 - 0,Australie,,104,,1 - 1,104
vendredi 26 juin,Sénégal,5 - 0,Irak,,54,,2 - 0,54
vendredi 26 juin,Norvège,1 - 4,France,,68,,0 - 2,68
jeudi 25 juin,Afrique du Sud,1 - 0,Corée du Sud,,103,,0 - 0,0
jeudi 25 juin,Tchéquie,0 - 3,Mexique,,99,,1 - 1,0
jeudi 25 juin,Équateur,2 - 1,Allemagne,,42,,0 - 4,0
jeudi 25 juin,Curaçao,0 - 2,Côte d’Ivoire,,53,Exact +20pts,,73
jeudi 25 juin,Tunisie,1 - 3,Pays-Bas,,56,Très rare +50pts,,106
jeudi 25 juin,Japon,1 - 1,Suède,,108,Exact +20pts,,128
mercredi 24 juin,Colombie,1 - 0,RD Congo,,111,,1 - 1,0
mercredi 24 juin,Suisse,2 - 1,Canada,,68,Exact +20pts,,88
mercredi 24 juin,Bosnie,3 - 1,Qatar,,102,,1 - 1,0
mercredi 24 juin,Écosse,0 - 3,Brésil,,48,,0 - 2,48
mercredi 24 juin,Maroc,4 - 2,Haïti,,29,,3 - 0,29
mardi 23 juin,Norvège,3 - 2,Sénégal,,64,Très rare +50pts,,114
mardi 23 juin,Jordanie,1 - 2,Algérie,,67,,0 - 1,67
mardi 23 juin,Portugal,5 - 0,Ouzbékistan,,24,,1 - 0,24
mardi 23 juin,Angleterre,0 - 0,Ghana,,44,,3 - 0,0
mardi 23 juin,Panama,0 - 1,Croatie,,36,Très rare +50pts,,86
lundi 22 juin,Nouvelle-Zélande,1 - 3,Égypte,,59,,0 - 2,59
lundi 22 juin,Argentine,2 - 0,Autriche,,63,,3 - 1,63
lundi 22 juin,France,3 - 0,Irak,,166,(x2),0 - 0,0
dimanche 21 juin,Équateur,0 - 0,Curaçao,,41,,3 - 0,0
dimanche 21 juin,Tunisie,0 - 4,Japon,,103,,2 - 2,0
dimanche 21 juin,Espagne,4 - 0,Arabie saoudite,,31,,2 - 1,31
dimanche 21 juin,Belgique,0 - 0,Iran,,39,,1 - 0,0
dimanche 21 juin,Uruguay,2 - 2,Cap-Vert,,109,,1 - 1,109
samedi 20 juin,Brésil,3 - 0,Haïti,,21,,2 - 0,21
samedi 20 juin,Turquie,0 - 1,Paraguay,,84,,1 - 0,0
