Date,Equipe_Domicile,Score_Reel,Equipe_Exterieur,Detail,Cote,Bonus_Tag,Prono_MPP,Points_Gagnes
dimanche 19 juillet,Espagne,1 - 0,Argentine,Ap. prolong.,90,,2 - 1,90
mercredi 15 juillet,Angleterre,1 - 2,Argentine,,93,,2 - 1,0
mardi 14 juillet,France,0 - 2,Espagne,,113,,2 - 2,0
dimanche 12 juillet,Argentine,3 - 1,Suisse,Ap. prolong.,119,,1 - 1,0
samedi 11 juillet,Norvège,1 - 2,Angleterre,Ap. prolong.,122,,1 - 0,0
vendredi 10 juillet,Espagne,2 - 1,Belgique,,60,,2 - 0,60
jeudi 09 juillet,France,2 - 0,Maroc,,54,,3 - 1,54
mardi 07 juillet,États-Unis,1 - 4,Belgique,,95,,2 - 1,0
mardi 07 juillet,Argentine,3 - 2,Égypte,,43,,2 - 1,43
mardi 07 juillet,Suisse,0 - 0,Colombie,TAB : 4 - 3,116,,2 - 1,0
lundi 06 juillet,Mexique,2 - 3,Angleterre,,105,,1 - 0,0
lundi 06 juillet,Portugal,0 - 1,Espagne,,120,,2 - 2,0
dimanche 05 juillet,Brésil,1 - 2,Norvège,,118,,2 - 2,0
samedi 04 juillet,Colombie,1 - 0,Ghana,,66,,2 - 1,66
samedi 04 juillet,Canada,0 - 3,Maroc,,68,,1 - 2,68
samedi 04 juillet,Paraguay,0 - 1,France,,28,,1 - 3,28
vendredi 03 juillet,Suisse,2 - 0,Algérie,,61,Rare +30pts,,91
vendredi 03 juillet,Australie,1 - 1,Égypte,TAB : 2 - 4,92,,0 - 2,0
vendredi 03 juillet,Argentine,3 - 2,Cap-Vert,Ap. prolong.,165,,1 - 1,0
jeudi 02 juillet,États-Unis,2 - 0,Bosnie,,52,Exact +20pts,,72
jeudi 02 juillet,Espagne,3 - 0,Autriche,,41,,2 - 0,41
jeudi 02 juillet,Portugal,2 - 1,Croatie,,114,,1 - 1,0
mercredi 01 juillet,Mexique,2 - 0,Équateur,,84,,1 - 0,84
mercredi 01 juillet,Angleterre,2 - 1,RD Congo,,39,,4 - 0,39
mercredi 01 juillet,Belgique,3 - 2,Sénégal,Ap. prolong.,123,,1 - 2,0
mardi 30 juin,Pays-Bas,1 - 1,Maroc,TAB : 2 - 3,114,,2 - 2,114
mardi 30 juin,Côte d’Ivoire,1 - 2,Norvège,,119,,2 - 2,0
mardi 30 juin,France,3 - 0,Suède,,38,,4 - 1,38
lundi 29 juin,Brésil,2 - 1,Japon,,65,Exact +20pts,,85
lundi 29 juin,Allemagne,1 - 1,Paraguay,TAB : 3 - 4,45,,3 - 1,0
dimanche 28 juin,Jordanie,1 - 3,Argentine,,32,,0 - 3,32
dimanche 28 juin,Algérie,3 - 3,Autriche,,103,,1 - 1,103
dimanche 28 juin,Afrique du Sud,0 - 1,Canada,,64,,1 - 2,64
samedi 27 juin,Uruguay,0 - 1,Espagne,,57,,0 - 3,57
samedi 27 juin,Cap-Vert,0 - 0,Arabie saoudite,,94,,0 - 2,0
samedi 27 juin,Nouvelle-Zélande,1 - 5,Belgique,,32,,0 - 1,32
samedi 27 juin,Égypte,1 - 1,Iran,,85,,2 - 1,0
samedi 27 juin,Panama,0 - 2,Angleterre,,32,,0 - 4,32
samedi 27 juin,Croatie,2 - 1,Ghana,,120,,1 - 1,0
samedi 27 juin,RD Congo,3 - 1,Ouzbékistan,,107,,1 - 1,0
samedi 27 juin,Colombie,0 - 0,Portugal,,55,,0 - 2,0
vendredi 26 juin,Turquie,3 - 2,États-Unis,,93,,1 - 2,0
